D,S,ho,do,hc,hz,du,J,Q,Hi,y
75,1350,30,35,150,225,38,4.7,10,12,13600
75,1350,40,35,150,225,38,4.7,5,1,2107.23739
75,1350,40,35,150,225,38,4.7,5,2,3788.934462
75,1350,40,35,150,225,38,4.7,5,3,3275.730392
75,1350,40,35,150,225,38,4.7,5,4,2866.990008
75,1350,40,35,150,225,38,4.7,5,5,4017.97863
75,1350,40,35,150,225,38,4.7,5,6,3865.659204
75,1350,40,35,150,225,38,4.7,5,7,3868.89743
75,1350,40,35,150,225,38,4.7,5,8,4869.941
75,1350,40,35,150,225,38,4.7,5,9,5090.593422
75,1350,40,35,150,225,38,4.7,5,10,5118.585198
75,1350,40,35,150,225,38,4.7,5,11,6010
75,1350,40,35,150,225,38,4.7,5,12,5560
75,1350,40,35,150,225,38,4.7,7.5,1,0
75,1350,40,35,150,225,38,4.7,7.5,2,15618.23204
75,1350,40,35,150,225,38,4.7,7.5,3,15134.5199
75,1350,40,35,150,225,38,4.7,7.5,4,17836.22576
75,1350,40,35,150,225,38,4.7,7.5,5,17358.02188
75,1350,40,35,150,225,38,4.7,7.5,6,19766.90198
75,1350,40,35,150,225,38,4.7,7.5,7,21189.45974
75,1350,40,35,150,225,38,4.7,7.5,8,22915.03828
75,1350,40,35,150,225,38,4.7,7.5,9,23631.12616
75,1350,40,35,150,225,38,4.7,7.5,10,24086.58204
75,1350,40,35,150,225,38,4.7,7.5,11,21200
75,1350,40,35,150,225,38,4.7,7.5,12,20300
75,1350,50,35,150,225,38,4.7,5,1,2378.445216
75,1350,50,35,150,225,38,4.7,5,2,2995.077198
75,1350,50,35,150,225,38,4.7,5,3,3106.597996
75,1350,50,35,150,225,38,4.7,5,4,3836.044188
75,1350,50,35,150,225,38,4.7,5,5,3147.883836
75,1350,50,35,150,225,38,4.7,5,6,3501.69238
75,1350,50,35,150,225,38,4.7,5,7,4116.745166
75,1350,50,35,150,225,38,4.7,5,8,4454.042482
75,1350,50,35,150,225,38,4.7,5,9,4786.90713
75,1350,50,35,150,225,38,4.7,5,10,4997.402148
75,1350,50,35,150,225,38,4.7,5,11,5630
75,1350,50,35,150,225,38,4.7,5,12,6040
75,1350,50,35,150,225,38,4.7,7.5,1,7246.104327
75,1350,50,35,150,225,38,4.7,7.5,2,5608.474024
75,1350,50,35,150,225,38,4.7,7.5,3,5696.71504
75,1350,50,35,150,225,38,4.7,7.5,4,5813.855564
75,1350,50,35,150,225,38,4.7,7.5,5,5006.747362
75,1350,50,35,150,225,38,4.7,7.5,6,6841.640236
75,1350,50,35,150,225,38,4.7,7.5,7,6895.425684
75,1350,50,35,150,225,38,4.7,7.5,8,7728.351562
75,1350,50,35,150,225,38,4.7,7.5,9,8199.301366
75,1350,50,35,150,225,38,4.7,7.5,10,8701.739648
75,1350,50,35,150,225,38,4.7,7.5,11,10300
